model,channel,journeys_touched,touchpoints,attributed_conversions,attributed_revenue,conversion_share,revenue_share,channel_rank
First Touch,Paid Search,652,805,224.0,31603.91,0.18315617334423548,0.18637634789894625,1
First Touch,Paid Social,556,677,178.0,25253.97,0.1455437448896157,0.1489291261286832,2
First Touch,Organic Search,582,719,185.0,24863.96,0.15126737530662307,0.1466291373157778,3
First Touch,Email,594,704,174.0,24330.47,0.14227309893704007,0.1434830102118654,4
First Touch,Direct,528,616,162.0,23095.88,0.13246116107931316,0.13620231692573215,5
First Touch,Organic Social,393,436,108.0,15599.14,0.08830744071954211,0.09199212197365353,6
First Touch,Referral,364,399,105.0,13833.02,0.08585445625511039,0.08157686020536958,7
First Touch,Display,358,392,87.0,10990.04,0.07113654946852004,0.06481107933997203,8
Last Touch,Email,594,704,215.0,29902.12,0.1757972199509403,0.17634045660919928,1
Last Touch,Paid Search,652,805,207.0,27403.32,0.16925592804578904,0.16160439331418652,2
Last Touch,Paid Social,556,677,164.0,22642.17,0.13409648405560098,0.13352667290557035,3
Last Touch,Organic Search,582,719,159.0,22635.82,0.13000817661488143,0.13348922532996474,4
Last Touch,Direct,528,616,160.0,21915.12,0.13082583810302534,0.12923907293012654,5
Last Touch,Referral,364,399,116.0,16197.14,0.09484873262469337,0.09551868106218309,6
Last Touch,Display,358,392,102.0,14648.57,0.08340147179067865,0.08638636733689178,7
Last Touch,Organic Social,393,436,100.0,14226.13,0.08176614881439084,0.08389513051187769,8
Linear,Paid Search,652,805,209.72857142857143,28415.892333333333,0.1714869758205817,0.16757579158326716,1
Linear,Email,594,704,189.68928571428572,26238.17588095238,0.1551016236420979,0.15473324016623646,2
Linear,Organic Search,582,719,179.22976190476192,24545.92717857143,0.146549273838726,0.14475361635112963,3
Linear,Paid Social,556,677,169.43690476190477,23604.617380952383,0.13854203169411675,0.13920247149842835,4
Linear,Direct,528,616,162.70357142857142,21952.890654761904,0.1330364443406144,0.12946181615057856,5
Linear,Organic Social,393,436,109.00595238095238,15983.874583333332,0.08912996924035355,0.09426100030396421,6
Linear,Referral,364,399,102.7154761904762,14512.397976190476,0.08398648911731496,0.08558332605232832,7
Linear,Display,358,392,100.49047619047619,14316.614011904761,0.08216719230619475,0.08442873789406724,8
Position Based,Paid Search,652,805,212.52,28877.802966666666,0.17376941946034344,0.170299796837565,1
Position Based,Email,594,704,192.63333333333335,26804.94326666667,0.1575088579994549,0.15807561253274624,2
Position Based,Paid Social,556,677,171.58333333333334,24091.139733333333,0.14029708367402563,0.14207161836057186,3
Position Based,Organic Search,582,719,174.43,24017.7277,0.14262469337694195,0.14163868880645966,4
Position Based,Direct,528,616,162.52666666666667,22313.573333333334,0.13289179612973562,0.13158885424119937,5
Position Based,Organic Social,393,436,105.67666666666668,15265.297033333334,0.08640774052875444,0.0900233645351251,6
Position Based,Referral,364,399,107.01666666666667,14758.077766666667,0.08750340692286726,0.08703216267101034,7
Position Based,Display,358,392,96.61333333333334,13441.8282,0.07899700190787681,0.07926990201532236,8
Time Decay,Paid Search,652,805,207.39948273301704,27935.4082712214,0.16958256969175556,0.16474225406464774,1
Time Decay,Email,594,704,193.06648024371412,26583.794838919017,0.15786302554678178,0.15677144364012502,2
Time Decay,Organic Search,582,719,177.36306755577897,24342.77770790187,0.14502294975942678,0.14355559191614686,3
Time Decay,Paid Social,556,677,168.15565776718685,23448.44658874692,0.13749440536973578,0.13828149235693166,4
Time Decay,Direct,528,616,164.0740658548417,22173.784230626763,0.1341570448526915,0.13076448211640468,5
Time Decay,Organic Social,393,436,107.85666574726801,15814.798690794796,0.08819024182115127,0.09326391648208628,6
Time Decay,Referral,364,399,103.78398997739293,14694.87419360045,0.08486017169042759,0.0866594350204682,7
Time Decay,Display,358,392,101.30059012080036,14576.505478188781,0.08282959126802973,0.08596138440318962,8
