journey_id,customer_id,first_touch_timestamp,last_touch_timestamp,first_channel,last_channel,first_campaign,last_campaign,touchpoint_count,unique_channels,converted,conversion_events,conversion_value,journey_duration_hours,conversion_timestamp,days_to_conversion,journey_path
JOURNEY-00001,CUST-00001,2025-04-05 23:44:00,2025-04-13 10:44:00,Display,Direct,Banner Campaign,Direct Visit,5,5,0,0,0.0,179.0,,,Display > Paid Search > Organic Social > Paid Social > Direct
JOURNEY-00002,CUST-00002,2025-06-24 11:02:00,2025-06-27 16:13:00,Paid Search,Email,Product Search,Promotional Email,3,3,0,0,0.0,77.18,,,Paid Search > Display > Email
JOURNEY-00003,CUST-00003,2025-03-27 18:49:00,2025-04-07 03:26:00,Referral,Paid Search,Customer Referral,Competitor Search,5,5,1,1,126.11,248.62,2025-04-07 03:26:00,10.36,Referral > Paid Social > Organic Search > Display > Paid Search
JOURNEY-00004,CUST-00004,2025-04-12 14:01:00,2025-04-16 14:53:00,Paid Social,Referral,LinkedIn Ads,Partner Website,4,3,0,0,0.0,96.87,,,Paid Social > Organic Search > Paid Social > Referral
JOURNEY-00005,CUST-00005,2025-01-20 02:46:00,2025-01-22 03:27:00,Paid Social,Paid Search,LinkedIn Ads,Product Search,2,2,0,0,0.0,48.68,,,Paid Social > Paid Search
JOURNEY-00006,CUST-00006,2025-03-22 23:05:00,2025-03-27 05:07:00,Paid Search,Referral,Product Search,Partner Website,3,3,0,0,0.0,102.03,,,Paid Search > Direct > Referral
JOURNEY-00007,CUST-00007,2025-05-07 04:43:00,2025-05-12 09:13:00,Organic Social,Referral,Instagram Organic,Partner Website,3,3,0,0,0.0,124.5,,,Organic Social > Paid Search > Referral
JOURNEY-00008,CUST-00008,2025-02-02 11:11:00,2025-02-03 18:06:00,Paid Search,Organic Search,Brand Search,Educational Content,2,2,0,0,0.0,30.92,,,Paid Search > Organic Search
JOURNEY-00009,CUST-00009,2025-04-15 03:57:00,2025-04-17 04:06:00,Paid Social,Referral,LinkedIn Ads,Partner Website,2,2,1,1,364.38,48.15,2025-04-17 04:06:00,2.01,Paid Social > Referral
JOURNEY-00010,CUST-00010,2025-06-02 10:17:00,2025-06-06 03:36:00,Referral,Paid Search,Affiliate,Competitor Search,3,3,0,0,0.0,89.32,,,Referral > Direct > Paid Search
JOURNEY-00011,CUST-00011,2025-05-11 05:02:00,2025-05-16 03:55:00,Organic Social,Referral,LinkedIn Organic,Customer Referral,3,3,0,0,0.0,118.88,,,Organic Social > Paid Social > Referral
JOURNEY-00012,CUST-00012,2025-06-18 07:26:00,2025-06-18 07:26:00,Direct,Direct,Direct Visit,Direct Visit,1,1,0,0,0.0,0.0,,,Direct
JOURNEY-00013,CUST-00013,2025-03-15 08:53:00,2025-03-26 23:14:00,Display,Referral,Retargeting,Customer Referral,6,5,1,1,98.42,278.35,2025-03-26 23:14:00,11.6,Display > Organic Search > Direct > Organic Search > Paid Search > Referral
JOURNEY-00014,CUST-00014,2025-06-05 19:01:00,2025-06-11 02:02:00,Display,Direct,Banner Campaign,Direct Visit,4,4,0,0,0.0,127.02,,,Display > Paid Search > Organic Search > Direct
JOURNEY-00015,CUST-00015,2025-05-11 03:44:00,2025-05-12 21:09:00,Direct,Organic Social,Direct Visit,TikTok Organic,2,2,0,0,0.0,41.42,,,Direct > Organic Social
JOURNEY-00016,CUST-00016,2025-04-30 02:17:00,2025-04-30 02:17:00,Display,Display,Banner Campaign,Banner Campaign,1,1,0,0,0.0,0.0,,,Display
JOURNEY-00017,CUST-00017,2025-06-16 10:06:00,2025-06-29 15:37:00,Referral,Display,Partner Website,Retargeting,5,4,0,0,0.0,317.52,,,Referral > Paid Social > Organic Search > Organic Search > Display
JOURNEY-00018,CUST-00018,2025-05-08 01:11:00,2025-05-11 08:30:00,Paid Search,Email,Brand Search,Promotional Email,2,2,0,0,0.0,79.32,,,Paid Search > Email
JOURNEY-00019,CUST-00019,2025-04-01 11:10:00,2025-04-03 04:10:00,Organic Search,Organic Search,Educational Content,Product Pages,2,1,0,0,0.0,41.0,,,Organic Search > Organic Search
JOURNEY-00020,CUST-00020,2025-03-14 22:41:00,2025-03-20 11:27:00,Referral,Direct,Affiliate,Direct Visit,3,2,0,0,0.0,132.77,,,Referral > Direct > Direct
JOURNEY-00021,CUST-00021,2025-05-04 15:14:00,2025-05-11 21:41:00,Paid Search,Organic Search,Brand Search,Educational Content,4,4,0,0,0.0,174.45,,,Paid Search > Organic Social > Paid Social > Organic Search
JOURNEY-00022,CUST-00022,2025-03-28 01:17:00,2025-04-03 10:33:00,Display,Email,Prospecting,Newsletter,6,5,1,1,330.75,153.27,2025-04-03 10:33:00,6.39,Display > Organic Search > Display > Referral > Paid Search > Email
JOURNEY-00023,CUST-00023,2025-05-11 18:55:00,2025-05-19 05:52:00,Organic Social,Paid Search,LinkedIn Organic,Competitor Search,4,4,1,1,273.63,178.95,2025-05-19 05:52:00,7.46,Organic Social > Email > Direct > Paid Search
JOURNEY-00024,CUST-00024,2025-06-23 03:05:00,2025-06-26 14:30:00,Paid Social,Display,LinkedIn Ads,Banner Campaign,3,2,0,0,0.0,83.42,,,Paid Social > Paid Social > Display
JOURNEY-00025,CUST-00025,2025-01-23 02:28:00,2025-01-27 07:37:00,Email,Referral,Newsletter,Affiliate,4,4,0,0,0.0,101.15,,,Email > Paid Search > Organic Social > Referral
JOURNEY-00026,CUST-00026,2025-06-08 03:39:00,2025-06-14 22:32:00,Paid Search,Paid Social,Competitor Search,LinkedIn Ads,4,3,1,1,135.4,162.88,2025-06-14 22:32:00,6.79,Paid Search > Direct > Paid Search > Paid Social
JOURNEY-00027,CUST-00027,2025-05-25 16:48:00,2025-05-27 11:50:00,Direct,Email,Direct Visit,Newsletter,2,2,0,0,0.0,43.03,,,Direct > Email
JOURNEY-00028,CUST-00028,2025-02-06 19:44:00,2025-02-11 06:06:00,Organic Search,Organic Social,SEO Blog,TikTok Organic,5,5,1,1,68.56,106.37,2025-02-11 06:06:00,4.43,Organic Search > Paid Social > Display > Direct > Organic Social
JOURNEY-00029,CUST-00029,2025-03-17 13:32:00,2025-03-25 02:08:00,Email,Paid Search,Promotional Email,Competitor Search,3,3,0,0,0.0,180.6,,,Email > Direct > Paid Search
JOURNEY-00030,CUST-00030,2025-02-20 03:24:00,2025-02-27 01:47:00,Organic Search,Paid Search,Product Pages,Brand Search,4,3,0,0,0.0,166.38,,,Organic Search > Email > Organic Search > Paid Search
JOURNEY-00031,CUST-00031,2025-06-23 12:48:00,2025-06-27 02:14:00,Direct,Organic Social,Direct Visit,Instagram Organic,4,4,0,0,0.0,85.43,,,Direct > Referral > Paid Social > Organic Social
JOURNEY-00032,CUST-00032,2025-05-12 07:03:00,2025-05-15 03:12:00,Paid Search,Referral,Competitor Search,Affiliate,2,2,0,0,0.0,68.15,,,Paid Search > Referral
JOURNEY-00033,CUST-00033,2025-04-19 03:42:00,2025-04-29 17:05:00,Paid Social,Paid Search,LinkedIn Ads,Brand Search,6,4,1,1,199.1,253.38,2025-04-29 17:05:00,10.56,Paid Social > Email > Paid Search > Organic Search > Email > Paid Search
JOURNEY-00034,CUST-00034,2025-04-24 05:11:00,2025-04-24 05:11:00,Organic Social,Organic Social,Instagram Organic,Instagram Organic,1,1,0,0,0.0,0.0,,,Organic Social
JOURNEY-00035,CUST-00035,2025-06-01 20:51:00,2025-06-04 19:12:00,Email,Email,Newsletter,Promotional Email,2,1,0,0,0.0,70.35,,,Email > Email
JOURNEY-00036,CUST-00036,2025-04-08 02:51:00,2025-04-21 04:18:00,Paid Social,Organic Social,Instagram Ads,LinkedIn Organic,7,4,1,1,199.36,313.45,2025-04-21 04:18:00,13.06,Paid Social > Organic Social > Organic Social > Paid Search > Paid Social > Direct > Organic Social
JOURNEY-00037,CUST-00037,2025-04-02 17:48:00,2025-04-09 00:30:00,Organic Social,Direct,TikTok Organic,Direct Visit,4,3,1,1,330.87,150.7,2025-04-09 00:30:00,6.28,Organic Social > Email > Direct > Direct
JOURNEY-00038,CUST-00038,2025-06-27 05:33:00,2025-07-03 05:51:00,Referral,Paid Search,Customer Referral,Product Search,4,4,0,0,0.0,144.3,,,Referral > Direct > Display > Paid Search
JOURNEY-00039,CUST-00039,2025-05-25 22:30:00,2025-06-01 22:24:00,Email,Direct,Welcome Series,Direct Visit,4,4,0,0,0.0,167.9,,,Email > Paid Search > Paid Social > Direct
JOURNEY-00040,CUST-00040,2025-02-19 16:20:00,2025-02-20 21:52:00,Email,Referral,Newsletter,Affiliate,2,2,0,0,0.0,29.53,,,Email > Referral
JOURNEY-00041,CUST-00041,2025-03-03 03:06:00,2025-03-17 15:08:00,Paid Search,Organic Search,Product Search,SEO Blog,6,4,0,0,0.0,348.03,,,Paid Search > Organic Search > Paid Search > Organic Social > Email > Organic Search
JOURNEY-00042,CUST-00042,2025-02-23 08:52:00,2025-02-26 12:43:00,Organic Search,Email,Product Pages,Newsletter,2,2,0,0,0.0,75.85,,,Organic Search > Email
JOURNEY-00043,CUST-00043,2025-01-31 13:19:00,2025-02-09 08:17:00,Email,Paid Search,Welcome Series,Product Search,5,5,0,0,0.0,210.97,,,Email > Direct > Paid Social > Organic Social > Paid Search
JOURNEY-00044,CUST-00044,2025-03-11 11:23:00,2025-03-13 06:04:00,Paid Social,Organic Search,Instagram Ads,Product Pages,3,3,0,0,0.0,42.68,,,Paid Social > Paid Search > Organic Search
JOURNEY-00045,CUST-00045,2025-05-21 21:28:00,2025-05-24 14:21:00,Email,Paid Social,Newsletter,Instagram Ads,3,3,0,0,0.0,64.88,,,Email > Organic Search > Paid Social
JOURNEY-00046,CUST-00046,2025-01-25 22:11:00,2025-01-25 22:11:00,Paid Search,Paid Search,Product Search,Product Search,1,1,1,1,35.3,0.0,2025-01-25 22:11:00,0.0,Paid Search
JOURNEY-00047,CUST-00047,2025-02-13 06:51:00,2025-02-18 00:23:00,Email,Referral,Welcome Series,Affiliate,3,3,0,0,0.0,113.53,,,Email > Paid Search > Referral
JOURNEY-00048,CUST-00048,2025-03-07 12:24:00,2025-03-13 10:21:00,Organic Search,Paid Social,Product Pages,Instagram Ads,4,3,1,1,89.49,141.95,2025-03-13 10:21:00,5.91,Organic Search > Paid Search > Paid Search > Paid Social
JOURNEY-00049,CUST-00049,2025-06-16 00:33:00,2025-06-18 07:54:00,Email,Referral,Promotional Email,Customer Referral,4,4,0,0,0.0,55.35,,,Email > Paid Search > Direct > Referral
JOURNEY-00050,CUST-00050,2025-04-22 14:11:00,2025-04-27 03:02:00,Paid Social,Organic Social,Facebook Ads,LinkedIn Organic,4,4,0,0,0.0,108.85,,,Paid Social > Email > Display > Organic Social
JOURNEY-00051,CUST-00051,2025-01-17 08:57:00,2025-01-20 21:11:00,Paid Search,Referral,Brand Search,Partner Website,3,3,0,0,0.0,84.23,,,Paid Search > Organic Search > Referral
JOURNEY-00052,CUST-00052,2025-04-04 18:54:00,2025-04-10 09:06:00,Referral,Organic Search,Partner Website,Product Pages,4,4,0,0,0.0,134.2,,,Referral > Display > Paid Search > Organic Search
JOURNEY-00053,CUST-00053,2025-03-02 09:21:00,2025-03-07 08:39:00,Paid Search,Direct,Product Search,Direct Visit,5,4,1,1,54.97,119.3,2025-03-07 08:39:00,4.97,Paid Search > Organic Search > Display > Organic Search > Direct
JOURNEY-00054,CUST-00054,2025-03-28 05:15:00,2025-04-02 19:44:00,Organic Search,Direct,SEO Blog,Direct Visit,3,3,0,0,0.0,134.48,,,Organic Search > Display > Direct
JOURNEY-00055,CUST-00055,2025-05-27 20:44:00,2025-05-28 09:35:00,Organic Social,Paid Search,TikTok Organic,Product Search,2,2,0,0,0.0,12.85,,,Organic Social > Paid Search
JOURNEY-00056,CUST-00056,2025-04-16 02:45:00,2025-04-19 05:19:00,Display,Direct,Banner Campaign,Direct Visit,3,3,1,1,107.34,74.57,2025-04-19 05:19:00,3.11,Display > Organic Search > Direct
JOURNEY-00057,CUST-00057,2025-04-07 12:43:00,2025-04-15 12:42:00,Organic Search,Display,SEO Blog,Retargeting,5,5,0,0,0.0,191.98,,,Organic Search > Paid Search > Direct > Referral > Display
JOURNEY-00058,CUST-00058,2025-01-30 20:01:00,2025-02-02 07:59:00,Paid Search,Direct,Competitor Search,Direct Visit,2,2,0,0,0.0,59.97,,,Paid Search > Direct
JOURNEY-00059,CUST-00059,2025-03-14 20:09:00,2025-03-25 07:19:00,Direct,Referral,Direct Visit,Affiliate,5,5,0,0,0.0,251.17,,,Direct > Organic Search > Paid Search > Paid Social > Referral
JOURNEY-00060,CUST-00060,2025-05-22 15:29:00,2025-05-24 05:47:00,Direct,Organic Search,Direct Visit,Product Pages,2,2,0,0,0.0,38.3,,,Direct > Organic Search
JOURNEY-00061,CUST-00061,2025-01-17 16:59:00,2025-01-23 12:43:00,Paid Search,Email,Competitor Search,Newsletter,4,4,0,0,0.0,139.73,,,Paid Search > Organic Social > Direct > Email
JOURNEY-00062,CUST-00062,2025-05-06 09:27:00,2025-05-19 08:02:00,Paid Search,Paid Search,Product Search,Product Search,6,3,1,1,268.61,310.58,2025-05-19 08:02:00,12.94,Paid Search > Organic Search > Email > Email > Email > Paid Search
JOURNEY-00063,CUST-00063,2025-05-07 17:58:00,2025-05-13 18:53:00,Paid Social,Paid Social,LinkedIn Ads,Facebook Ads,4,3,0,0,0.0,144.92,,,Paid Social > Display > Paid Search > Paid Social
