customer_id,journey_id,touchpoint_id,touchpoint_order,timestamp,channel,campaign,device,converted,is_conversion,conversion_value
CUST-00001,JOURNEY-00001,JOURNEY-00001-T01,1,2025-04-05 23:44:00,Display,Banner Campaign,Desktop,0,0,0.0
CUST-00001,JOURNEY-00001,JOURNEY-00001-T02,2,2025-04-08 05:10:00,Paid Search,Product Search,Mobile,0,0,0.0
CUST-00001,JOURNEY-00001,JOURNEY-00001-T03,3,2025-04-09 05:03:00,Organic Social,Instagram Organic,Desktop,0,0,0.0
CUST-00001,JOURNEY-00001,JOURNEY-00001-T04,4,2025-04-10 09:40:00,Paid Social,Instagram Ads,Mobile,0,0,0.0
CUST-00001,JOURNEY-00001,JOURNEY-00001-T05,5,2025-04-13 10:44:00,Direct,Direct Visit,Desktop,0,0,0.0
CUST-00002,JOURNEY-00002,JOURNEY-00002-T01,1,2025-06-24 11:02:00,Paid Search,Product Search,Mobile,0,0,0.0
CUST-00002,JOURNEY-00002,JOURNEY-00002-T02,2,2025-06-25 19:06:00,Display,Prospecting,Mobile,0,0,0.0
CUST-00002,JOURNEY-00002,JOURNEY-00002-T03,3,2025-06-27 16:13:00,Email,Promotional Email,Mobile,0,0,0.0
CUST-00003,JOURNEY-00003,JOURNEY-00003-T01,1,2025-03-27 18:49:00,Referral,Customer Referral,Desktop,1,0,0.0
CUST-00003,JOURNEY-00003,JOURNEY-00003-T02,2,2025-03-30 22:17:00,Paid Social,LinkedIn Ads,Desktop,1,0,0.0
CUST-00003,JOURNEY-00003,JOURNEY-00003-T03,3,2025-04-02 04:44:00,Organic Search,Product Pages,Mobile,1,0,0.0
CUST-00003,JOURNEY-00003,JOURNEY-00003-T04,4,2025-04-04 11:58:00,Display,Retargeting,Desktop,1,0,0.0
CUST-00003,JOURNEY-00003,JOURNEY-00003-T05,5,2025-04-07 03:26:00,Paid Search,Competitor Search,Desktop,1,1,126.11
CUST-00004,JOURNEY-00004,JOURNEY-00004-T01,1,2025-04-12 14:01:00,Paid Social,LinkedIn Ads,Mobile,0,0,0.0
CUST-00004,JOURNEY-00004,JOURNEY-00004-T02,2,2025-04-12 21:56:00,Organic Search,SEO Blog,Desktop,0,0,0.0
CUST-00004,JOURNEY-00004,JOURNEY-00004-T03,3,2025-04-13 11:29:00,Paid Social,Facebook Ads,Desktop,0,0,0.0
CUST-00004,JOURNEY-00004,JOURNEY-00004-T04,4,2025-04-16 14:53:00,Referral,Partner Website,Desktop,0,0,0.0
CUST-00005,JOURNEY-00005,JOURNEY-00005-T01,1,2025-01-20 02:46:00,Paid Social,LinkedIn Ads,Mobile,0,0,0.0
CUST-00005,JOURNEY-00005,JOURNEY-00005-T02,2,2025-01-22 03:27:00,Paid Search,Product Search,Mobile,0,0,0.0
CUST-00006,JOURNEY-00006,JOURNEY-00006-T01,1,2025-03-22 23:05:00,Paid Search,Product Search,Tablet,0,0,0.0
CUST-00006,JOURNEY-00006,JOURNEY-00006-T02,2,2025-03-24 01:20:00,Direct,Direct Visit,Desktop,0,0,0.0
CUST-00006,JOURNEY-00006,JOURNEY-00006-T03,3,2025-03-27 05:07:00,Referral,Partner Website,Mobile,0,0,0.0
CUST-00007,JOURNEY-00007,JOURNEY-00007-T01,1,2025-05-07 04:43:00,Organic Social,Instagram Organic,Desktop,0,0,0.0
CUST-00007,JOURNEY-00007,JOURNEY-00007-T02,2,2025-05-09 21:08:00,Paid Search,Brand Search,Desktop,0,0,0.0
CUST-00007,JOURNEY-00007,JOURNEY-00007-T03,3,2025-05-12 09:13:00,Referral,Partner Website,Mobile,0,0,0.0
CUST-00008,JOURNEY-00008,JOURNEY-00008-T01,1,2025-02-02 11:11:00,Paid Search,Brand Search,Mobile,0,0,0.0
CUST-00008,JOURNEY-00008,JOURNEY-00008-T02,2,2025-02-03 18:06:00,Organic Search,Educational Content,Mobile,0,0,0.0
CUST-00009,JOURNEY-00009,JOURNEY-00009-T01,1,2025-04-15 03:57:00,Paid Social,LinkedIn Ads,Desktop,1,0,0.0
CUST-00009,JOURNEY-00009,JOURNEY-00009-T02,2,2025-04-17 04:06:00,Referral,Partner Website,Mobile,1,1,364.38
CUST-00010,JOURNEY-00010,JOURNEY-00010-T01,1,2025-06-02 10:17:00,Referral,Affiliate,Mobile,0,0,0.0
CUST-00010,JOURNEY-00010,JOURNEY-00010-T02,2,2025-06-05 02:57:00,Direct,Direct Visit,Mobile,0,0,0.0
CUST-00010,JOURNEY-00010,JOURNEY-00010-T03,3,2025-06-06 03:36:00,Paid Search,Competitor Search,Desktop,0,0,0.0
CUST-00011,JOURNEY-00011,JOURNEY-00011-T01,1,2025-05-11 05:02:00,Organic Social,LinkedIn Organic,Tablet,0,0,0.0
CUST-00011,JOURNEY-00011,JOURNEY-00011-T02,2,2025-05-12 12:40:00,Paid Social,Instagram Ads,Mobile,0,0,0.0
CUST-00011,JOURNEY-00011,JOURNEY-00011-T03,3,2025-05-16 03:55:00,Referral,Customer Referral,Mobile,0,0,0.0
CUST-00012,JOURNEY-00012,JOURNEY-00012-T01,1,2025-06-18 07:26:00,Direct,Direct Visit,Desktop,0,0,0.0
CUST-00013,JOURNEY-00013,JOURNEY-00013-T01,1,2025-03-15 08:53:00,Display,Retargeting,Desktop,1,0,0.0
CUST-00013,JOURNEY-00013,JOURNEY-00013-T02,2,2025-03-18 06:45:00,Organic Search,SEO Blog,Mobile,1,0,0.0
CUST-00013,JOURNEY-00013,JOURNEY-00013-T03,3,2025-03-19 03:44:00,Direct,Direct Visit,Tablet,1,0,0.0
CUST-00013,JOURNEY-00013,JOURNEY-00013-T04,4,2025-03-22 07:13:00,Organic Search,Product Pages,Mobile,1,0,0.0
CUST-00013,JOURNEY-00013,JOURNEY-00013-T05,5,2025-03-26 00:13:00,Paid Search,Brand Search,Mobile,1,0,0.0
CUST-00013,JOURNEY-00013,JOURNEY-00013-T06,6,2025-03-26 23:14:00,Referral,Customer Referral,Mobile,1,1,98.42
CUST-00014,JOURNEY-00014,JOURNEY-00014-T01,1,2025-06-05 19:01:00,Display,Banner Campaign,Mobile,0,0,0.0
CUST-00014,JOURNEY-00014,JOURNEY-00014-T02,2,2025-06-06 09:30:00,Paid Search,Product Search,Tablet,0,0,0.0
CUST-00014,JOURNEY-00014,JOURNEY-00014-T03,3,2025-06-09 02:01:00,Organic Search,SEO Blog,Desktop,0,0,0.0
CUST-00014,JOURNEY-00014,JOURNEY-00014-T04,4,2025-06-11 02:02:00,Direct,Direct Visit,Mobile,0,0,0.0
CUST-00015,JOURNEY-00015,JOURNEY-00015-T01,1,2025-05-11 03:44:00,Direct,Direct Visit,Desktop,0,0,0.0
CUST-00015,JOURNEY-00015,JOURNEY-00015-T02,2,2025-05-12 21:09:00,Organic Social,TikTok Organic,Desktop,0,0,0.0
CUST-00016,JOURNEY-00016,JOURNEY-00016-T01,1,2025-04-30 02:17:00,Display,Banner Campaign,Mobile,0,0,0.0
CUST-00017,JOURNEY-00017,JOURNEY-00017-T01,1,2025-06-16 10:06:00,Referral,Partner Website,Mobile,0,0,0.0
CUST-00017,JOURNEY-00017,JOURNEY-00017-T02,2,2025-06-19 22:09:00,Paid Social,Facebook Ads,Mobile,0,0,0.0
CUST-00017,JOURNEY-00017,JOURNEY-00017-T03,3,2025-06-22 07:20:00,Organic Search,Educational Content,Mobile,0,0,0.0
CUST-00017,JOURNEY-00017,JOURNEY-00017-T04,4,2025-06-25 23:28:00,Organic Search,Educational Content,Mobile,0,0,0.0
CUST-00017,JOURNEY-00017,JOURNEY-00017-T05,5,2025-06-29 15:37:00,Display,Retargeting,Mobile,0,0,0.0
CUST-00018,JOURNEY-00018,JOURNEY-00018-T01,1,2025-05-08 01:11:00,Paid Search,Brand Search,Mobile,0,0,0.0
CUST-00018,JOURNEY-00018,JOURNEY-00018-T02,2,2025-05-11 08:30:00,Email,Promotional Email,Desktop,0,0,0.0
CUST-00019,JOURNEY-00019,JOURNEY-00019-T01,1,2025-04-01 11:10:00,Organic Search,Educational Content,Mobile,0,0,0.0
CUST-00019,JOURNEY-00019,JOURNEY-00019-T02,2,2025-04-03 04:10:00,Organic Search,Product Pages,Mobile,0,0,0.0
CUST-00020,JOURNEY-00020,JOURNEY-00020-T01,1,2025-03-14 22:41:00,Referral,Affiliate,Desktop,0,0,0.0
CUST-00020,JOURNEY-00020,JOURNEY-00020-T02,2,2025-03-17 12:19:00,Direct,Direct Visit,Desktop,0,0,0.0
CUST-00020,JOURNEY-00020,JOURNEY-00020-T03,3,2025-03-20 11:27:00,Direct,Direct Visit,Mobile,0,0,0.0
CUST-00021,JOURNEY-00021,JOURNEY-00021-T01,1,2025-05-04 15:14:00,Paid Search,Brand Search,Mobile,0,0,0.0
CUST-00021,JOURNEY-00021,JOURNEY-00021-T02,2,2025-05-07 14:33:00,Organic Social,TikTok Organic,Desktop,0,0,0.0
CUST-00021,JOURNEY-00021,JOURNEY-00021-T03,3,2025-05-09 03:47:00,Paid Social,Instagram Ads,Tablet,0,0,0.0
CUST-00021,JOURNEY-00021,JOURNEY-00021-T04,4,2025-05-11 21:41:00,Organic Search,Educational Content,Mobile,0,0,0.0
CUST-00022,JOURNEY-00022,JOURNEY-00022-T01,1,2025-03-28 01:17:00,Display,Prospecting,Desktop,1,0,0.0
CUST-00022,JOURNEY-00022,JOURNEY-00022-T02,2,2025-03-28 11:00:00,Organic Search,SEO Blog,Tablet,1,0,0.0
CUST-00022,JOURNEY-00022,JOURNEY-00022-T03,3,2025-03-29 04:48:00,Display,Prospecting,Desktop,1,0,0.0
CUST-00022,JOURNEY-00022,JOURNEY-00022-T04,4,2025-03-31 14:47:00,Referral,Customer Referral,Tablet,1,0,0.0
CUST-00022,JOURNEY-00022,JOURNEY-00022-T05,5,2025-04-01 01:02:00,Paid Search,Competitor Search,Mobile,1,0,0.0
CUST-00022,JOURNEY-00022,JOURNEY-00022-T06,6,2025-04-03 10:33:00,Email,Newsletter,Mobile,1,1,330.75
CUST-00023,JOURNEY-00023,JOURNEY-00023-T01,1,2025-05-11 18:55:00,Organic Social,LinkedIn Organic,Desktop,1,0,0.0
CUST-00023,JOURNEY-00023,JOURNEY-00023-T02,2,2025-05-14 17:20:00,Email,Promotional Email,Desktop,1,0,0.0
CUST-00023,JOURNEY-00023,JOURNEY-00023-T03,3,2025-05-17 20:03:00,Direct,Direct Visit,Desktop,1,0,0.0
CUST-00023,JOURNEY-00023,JOURNEY-00023-T04,4,2025-05-19 05:52:00,Paid Search,Competitor Search,Mobile,1,1,273.63
CUST-00024,JOURNEY-00024,JOURNEY-00024-T01,1,2025-06-23 03:05:00,Paid Social,LinkedIn Ads,Desktop,0,0,0.0
CUST-00024,JOURNEY-00024,JOURNEY-00024-T02,2,2025-06-24 14:51:00,Paid Social,Facebook Ads,Mobile,0,0,0.0
CUST-00024,JOURNEY-00024,JOURNEY-00024-T03,3,2025-06-26 14:30:00,Display,Banner Campaign,Desktop,0,0,0.0
CUST-00025,JOURNEY-00025,JOURNEY-00025-T01,1,2025-01-23 02:28:00,Email,Newsletter,Mobile,0,0,0.0
CUST-00025,JOURNEY-00025,JOURNEY-00025-T02,2,2025-01-24 09:54:00,Paid Search,Brand Search,Desktop,0,0,0.0
CUST-00025,JOURNEY-00025,JOURNEY-00025-T03,3,2025-01-25 16:38:00,Organic Social,LinkedIn Organic,Mobile,0,0,0.0
CUST-00025,JOURNEY-00025,JOURNEY-00025-T04,4,2025-01-27 07:37:00,Referral,Affiliate,Mobile,0,0,0.0
CUST-00026,JOURNEY-00026,JOURNEY-00026-T01,1,2025-06-08 03:39:00,Paid Search,Competitor Search,Desktop,1,0,0.0
CUST-00026,JOURNEY-00026,JOURNEY-00026-T02,2,2025-06-08 23:56:00,Direct,Direct Visit,Mobile,1,0,0.0
CUST-00026,JOURNEY-00026,JOURNEY-00026-T03,3,2025-06-11 14:56:00,Paid Search,Brand Search,Mobile,1,0,0.0
CUST-00026,JOURNEY-00026,JOURNEY-00026-T04,4,2025-06-14 22:32:00,Paid Social,LinkedIn Ads,Mobile,1,1,135.4
CUST-00027,JOURNEY-00027,JOURNEY-00027-T01,1,2025-05-25 16:48:00,Direct,Direct Visit,Desktop,0,0,0.0
CUST-00027,JOURNEY-00027,JOURNEY-00027-T02,2,2025-05-27 11:50:00,Email,Newsletter,Mobile,0,0,0.0
CUST-00028,JOURNEY-00028,JOURNEY-00028-T01,1,2025-02-06 19:44:00,Organic Search,SEO Blog,Desktop,1,0,0.0
CUST-00028,JOURNEY-00028,JOURNEY-00028-T02,2,2025-02-07 01:11:00,Paid Social,LinkedIn Ads,Mobile,1,0,0.0
CUST-00028,JOURNEY-00028,JOURNEY-00028-T03,3,2025-02-08 13:16:00,Display,Banner Campaign,Tablet,1,0,0.0
CUST-00028,JOURNEY-00028,JOURNEY-00028-T04,4,2025-02-09 08:51:00,Direct,Direct Visit,Desktop,1,0,0.0
CUST-00028,JOURNEY-00028,JOURNEY-00028-T05,5,2025-02-11 06:06:00,Organic Social,TikTok Organic,Mobile,1,1,68.56
CUST-00029,JOURNEY-00029,JOURNEY-00029-T01,1,2025-03-17 13:32:00,Email,Promotional Email,Mobile,0,0,0.0
CUST-00029,JOURNEY-00029,JOURNEY-00029-T02,2,2025-03-21 05:00:00,Direct,Direct Visit,Mobile,0,0,0.0
CUST-00029,JOURNEY-00029,JOURNEY-00029-T03,3,2025-03-25 02:08:00,Paid Search,Competitor Search,Mobile,0,0,0.0
CUST-00030,JOURNEY-00030,JOURNEY-00030-T01,1,2025-02-20 03:24:00,Organic Search,Product Pages,Mobile,0,0,0.0
CUST-00030,JOURNEY-00030,JOURNEY-00030-T02,2,2025-02-22 01:29:00,Email,Newsletter,Mobile,0,0,0.0
CUST-00030,JOURNEY-00030,JOURNEY-00030-T03,3,2025-02-24 11:11:00,Organic Search,Product Pages,Desktop,0,0,0.0
CUST-00030,JOURNEY-00030,JOURNEY-00030-T04,4,2025-02-27 01:47:00,Paid Search,Brand Search,Desktop,0,0,0.0
CUST-00031,JOURNEY-00031,JOURNEY-00031-T01,1,2025-06-23 12:48:00,Direct,Direct Visit,Mobile,0,0,0.0
CUST-00031,JOURNEY-00031,JOURNEY-00031-T02,2,2025-06-26 12:19:00,Referral,Customer Referral,Mobile,0,0,0.0
CUST-00031,JOURNEY-00031,JOURNEY-00031-T03,3,2025-06-26 17:25:00,Paid Social,Instagram Ads,Desktop,0,0,0.0
CUST-00031,JOURNEY-00031,JOURNEY-00031-T04,4,2025-06-27 02:14:00,Organic Social,Instagram Organic,Mobile,0,0,0.0
CUST-00032,JOURNEY-00032,JOURNEY-00032-T01,1,2025-05-12 07:03:00,Paid Search,Competitor Search,Mobile,0,0,0.0
CUST-00032,JOURNEY-00032,JOURNEY-00032-T02,2,2025-05-15 03:12:00,Referral,Affiliate,Mobile,0,0,0.0
CUST-00033,JOURNEY-00033,JOURNEY-00033-T01,1,2025-04-19 03:42:00,Paid Social,LinkedIn Ads,Mobile,1,0,0.0
CUST-00033,JOURNEY-00033,JOURNEY-00033-T02,2,2025-04-23 01:54:00,Email,Promotional Email,Tablet,1,0,0.0
CUST-00033,JOURNEY-00033,JOURNEY-00033-T03,3,2025-04-25 17:02:00,Paid Search,Product Search,Mobile,1,0,0.0
CUST-00033,JOURNEY-00033,JOURNEY-00033-T04,4,2025-04-27 13:21:00,Organic Search,SEO Blog,Desktop,1,0,0.0
CUST-00033,JOURNEY-00033,JOURNEY-00033-T05,5,2025-04-27 18:47:00,Email,Newsletter,Mobile,1,0,0.0
CUST-00033,JOURNEY-00033,JOURNEY-00033-T06,6,2025-04-29 17:05:00,Paid Search,Brand Search,Desktop,1,1,199.1
CUST-00034,JOURNEY-00034,JOURNEY-00034-T01,1,2025-04-24 05:11:00,Organic Social,Instagram Organic,Mobile,0,0,0.0
CUST-00035,JOURNEY-00035,JOURNEY-00035-T01,1,2025-06-01 20:51:00,Email,Newsletter,Mobile,0,0,0.0
CUST-00035,JOURNEY-00035,JOURNEY-00035-T02,2,2025-06-04 19:12:00,Email,Promotional Email,Mobile,0,0,0.0
CUST-00036,JOURNEY-00036,JOURNEY-00036-T01,1,2025-04-08 02:51:00,Paid Social,Instagram Ads,Mobile,1,0,0.0
CUST-00036,JOURNEY-00036,JOURNEY-00036-T02,2,2025-04-08 23:27:00,Organic Social,LinkedIn Organic,Mobile,1,0,0.0
CUST-00036,JOURNEY-00036,JOURNEY-00036-T03,3,2025-04-10 16:45:00,Organic Social,Instagram Organic,Mobile,1,0,0.0
CUST-00036,JOURNEY-00036,JOURNEY-00036-T04,4,2025-04-13 03:09:00,Paid Search,Brand Search,Desktop,1,0,0.0
CUST-00036,JOURNEY-00036,JOURNEY-00036-T05,5,2025-04-15 06:47:00,Paid Social,LinkedIn Ads,Desktop,1,0,0.0
CUST-00036,JOURNEY-00036,JOURNEY-00036-T06,6,2025-04-19 05:39:00,Direct,Direct Visit,Desktop,1,0,0.0
CUST-00036,JOURNEY-00036,JOURNEY-00036-T07,7,2025-04-21 04:18:00,Organic Social,LinkedIn Organic,Desktop,1,1,199.36
CUST-00037,JOURNEY-00037,JOURNEY-00037-T01,1,2025-04-02 17:48:00,Organic Social,TikTok Organic,Desktop,1,0,0.0
CUST-00037,JOURNEY-00037,JOURNEY-00037-T02,2,2025-04-05 07:08:00,Email,Welcome Series,Mobile,1,0,0.0
CUST-00037,JOURNEY-00037,JOURNEY-00037-T03,3,2025-04-05 20:38:00,Direct,Direct Visit,Mobile,1,0,0.0
CUST-00037,JOURNEY-00037,JOURNEY-00037-T04,4,2025-04-09 00:30:00,Direct,Direct Visit,Mobile,1,1,330.87
CUST-00038,JOURNEY-00038,JOURNEY-00038-T01,1,2025-06-27 05:33:00,Referral,Customer Referral,Mobile,0,0,0.0
CUST-00038,JOURNEY-00038,JOURNEY-00038-T02,2,2025-06-27 12:28:00,Direct,Direct Visit,Desktop,0,0,0.0
CUST-00038,JOURNEY-00038,JOURNEY-00038-T03,3,2025-06-30 06:07:00,Display,Banner Campaign,Desktop,0,0,0.0
CUST-00038,JOURNEY-00038,JOURNEY-00038-T04,4,2025-07-03 05:51:00,Paid Search,Product Search,Mobile,0,0,0.0
